0-5070 press up
650 steer 18765
660 steer 49126
670 steer 65536
680 steer 65536
690 steer 65536
700 steer 65536
710 steer 65536
720 steer 65536
730 steer 65536
740 steer 65536
750 steer 65536
760 steer -21301
770 steer -21301
780 steer 0
790 steer 0
800 steer 0
810 steer 0
820 steer 0
830 steer 0
840 steer 0
850 steer 0
860 steer 0
870 steer 0
880 steer 0
890 steer 0
900 steer 0
910 steer 0
920 steer 0
930 steer 0
940 steer 0
950 steer 0
960 steer 0
970 steer 0
980 steer 0
990 steer 0
1000 steer 0
1010 steer 0
1020 steer 0
1030 steer 0
1040 steer 0
1050 steer 0
1060 steer 0
1070 steer 0
1080 steer 0
1090 steer 0
1100 steer 0
1110 steer 0
1120 steer 0
1130 steer 0
1140 steer 0
1150 steer 0
1160 steer 0
1170 steer 0
1180 steer 0
1190 steer 0
1200 steer 0
1210 steer 0
1220 steer 0
1230 steer 0
1240 steer 0
1250 steer 0
1260 steer 0
1270 steer 0
1280 steer 0
1290 steer 0
1300 steer 0
1310 steer 0
1320 steer 0
1330 steer 0
1340 steer 0
1350 steer 0
1360 steer 0
1370 steer 0
1380 steer 0
1390 steer 0
1400 steer 0
1410 steer 0
1420 steer 0
1430 steer 0
1440 steer 0
1450 steer 0
1460 steer 0
1470 steer 0
1480 steer 0
1490 steer 0
1500 steer 0
1510 steer 0
1520 steer 0
1530 steer 0
1540 steer 0
1550 steer 0
1560 steer 0
1570 steer 0
1580 steer 0
1590 steer 0
1600 steer 0
1610 steer 0
1620 steer 0
1630 steer 0
1640 steer 0
1650 steer 0
1660 steer 0
1670 steer 0
1680 steer 0
1690 steer 0
1700 steer 0
1710 steer 0
1720 steer 0
1730 steer 0
1740 steer 0
1750 steer 0
1760 steer 0
1770 steer 0
1780 steer 0
1790 steer 0
1800 steer 0
1810 steer 0
1820 steer 0
1830 steer 0
1840 steer 0
1850 steer 0
1860 steer 0
1870 steer 0
1880 steer 0
1890 steer 0
1900 steer 0
1910 steer 0
1920 steer 0
1930 steer 0
1940 steer 0
1950 steer 0
1960 steer 0
1970 steer 0
1980 steer 0
1990 steer 0
2000 steer 0
2010 steer 15245
2020 steer 0
2030 steer 0
2040 steer 0
2050 steer 0
2060 steer 0
2070 steer 0
2080 steer 0
2090 steer 0
2100 steer 0
2110 steer 0
2120 steer 0
2130 steer 0
2140 steer 0
2150 steer 0
2160 steer 0
2170 steer 0
2180 steer 0
2190 steer 0
2200 steer 0
2210 steer 0
2220 steer 0
2230 steer 0
2240 steer 0
2250 steer 0
2260 steer 0
2270 steer 0
2280 steer 0
2290 steer 0
2300 steer 0
2310 steer 0
2320 steer 0
2330 steer 0
2340 steer 0
2350 steer 0
2360 steer 0
2370 steer 0
2380 steer 0
2390 steer 0
2400 steer 0
2410 steer 0
2420 steer 0
2430 steer 0
2440 steer 0
2450 steer 0
2460 steer 0
2470 steer 0
2480 steer 0
2490 steer 0
2500 steer 0
2510 steer 0
2520 steer 0
2530 steer 0
2540 steer 0
2550 steer 0
2560 steer 0
2570 steer -5901
2580 steer -17341
2590 steer -44622
2600 steer -65536
2610 steer -65536
2620 steer -65536
2630 steer -65536
2640 steer -65536
2650 steer -65536
2660 steer -65536
2670 steer -65536
2680 steer -65536
2690 steer -65536
2700 steer -59582
2710 steer 0
2720 steer 0
2730 steer 0
2740 steer 0
2750 steer 0
2760 steer 0
2770 steer 0
2780 steer 0
2790 steer 0
2800 steer 0
2810 steer 0
2820 steer 0
2830 steer 0
2840 steer 0
2850 steer 0
2860 steer 0
2870 steer 0
2880 steer 0
2890 steer 0
2900 steer 0
2910 steer 0
2920 steer 0
2930 steer 0
2940 steer 0
2950 steer 0
2960 steer 0
2970 steer 0
2980 steer 0
2990 steer 0
3000 steer 0
3010 steer 0
3020 steer 0
3030 steer 0
3040 steer 0
3050 steer 0
3060 steer 0
3070 steer 0
3080 steer 0
3090 steer 0
3100 steer 0
3110 steer 0
3120 steer 0
3130 steer 12605
3140 steer 12605
3150 steer 65536
3160 steer 65536
3170 steer 65536
3180 steer 65536
3190 steer 65536
3200 steer -22181
3210 steer 0
3220 steer 0
3230 steer 0
3240 steer 0
3250 steer 0
3260 steer 0
3270 steer 0
3280 steer 0
3290 steer 0
3300 steer 0
3310 steer 0
3320 steer 0
3330 steer 0
3340 steer 0
3350 steer 0
3360 steer -26141
3370 steer -46822
3380 steer -65536
3390 steer -65536
3400 steer -65536
3410 steer -65536
3420 steer -65536
3430 steer -65536
3440 steer -65536
3450 steer -65536
3460 steer -65536
3470 steer -65536
3480 steer -65536
3490 steer -65536
3500 steer -65536
3510 steer -65536
3520 steer -65536
3530 steer -65536
3540 steer -57382
3550 steer -16021
3560 steer 0
3570 steer 31085
3580 steer 61886
3590 steer 65536
3600 steer 65536
3610 steer 65536
3620 steer 65536
3630 steer 65536
3640 steer 65536
3650 steer 65536
3660 steer 65536
3670 steer 65536
3680 steer 65536
3690 steer 65536
3700 steer 65536
3710 steer 65536
3720 steer 65536
3730 steer 65536
3740 steer 65536
3750 steer 65536
3760 steer 65536
3770 steer 65536
3780 steer 65536
3790 steer 65536
3800 steer 65536
3810 steer 65536
3820 steer 65536
3830 steer 65536
3840 steer 65536
3850 steer 65536
3860 steer 65536
3870 steer 65536
3880 steer 65536
3890 steer 65536
3900 steer 65536
3910 steer 65536
3920 steer 65536
3930 steer 65536
3940 steer 65536
3950 steer 65536
3960 steer 65536
3970 steer 65536
3980 steer 65536
3990 steer 65536
4000 steer 65536
4010 steer 65536
4020 steer 65536
4030 steer 65536
4040 steer 65536
4050 steer 65536
4060 steer 65536
4070 steer 65536
4080 steer 65536
4090 steer 65536
4100 steer 65536
4110 steer 65536
4120 steer 65536
4130 steer 65536
4140 steer 65536
4150 steer 65536
4160 steer 65536
4170 steer 65536
4180 steer 65536
4190 steer 65536
4200 steer 65536
4210 steer 65536
4220 steer 65536
4230 steer 65536
4240 steer 65536
4250 steer 65536
4260 steer 65536
4270 steer 65536
4280 steer 65536
4290 steer 65536
4300 steer 65536
4310 steer 65536
4320 steer 65536
4330 steer 65536
4340 steer 65536
4350 steer 65536
4360 steer 65536
4370 steer 65536
4380 steer 65536
4390 steer 65536
4400 steer 65536
4410 steer 65536
4420 steer 65536
4430 steer 65536
4440 steer 65536
4450 steer 65536
4460 steer 65536
4470 steer 65536
4480 steer 65536
4490 steer 65536
4500 steer 65536
4510 steer 65536
